Contrast,Method,Lipid_Class,Sig.Level,Tentative_Lipid_ID,logFC,t,P.Value,adj.P.Val,B,Sig.Level,MetaboAnalysisDate,ExclusionVersion,AveExpr
PFHxA,1,LPC,NA,LPC(24:1),NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,LPE,NA,LPE(20:1),NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,LPE,NA,LPE(20:3),NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,LPE,NA,LPE(20:4),NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,LPE,NA,LPE(20:5),NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,LPE,NA,LPE(22:4),NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,LPE,NA,LPE(22:5),NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,LPE,NA,LPE(22:6),NA,NA,NA,NA,NA,NA,NA,EB,NA
PFHxA,1,PC,<0.1,"PC(30:2),PC(P-31:1)",0.72175,2.602,0.010,0.094,-2.7398,<0.1,12524,E3,6.46E-16
PFHxA,1,PC,NA,"PC(31:0),PC(O-32:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
PFHxA,1,PC,<0.1,"PC(32:0),PC(O-33:0)",0.62704,2.3539,0.020,0.094,-3.2636,<0.1,12524,E3,-1.37E-16
PFHxA,1,PC,<0.1,"PC(32:1),PC(O-33:1),PC(P-33:0)",0.49705,2.5473,0.012,0.094,-2.8593,<0.1,12524,E3,-3.63E-17
PFHxA,1,PC,<0.1,"PC(32:2),PC(O-33:2),PC(P-33:1)",0.40942,2.5608,0.011,0.094,-2.8301,<0.1,12524,E3,2.91E-17
PFHxA,1,PC,<0.1,"PC(33:0),PC(O-34:0)",0.71182,2.6181,0.010,0.094,-2.7042,<0.1,12524,E3,-8.67E-17
PFHxA,1,PC,<0.1,"PC(33:0),PC(O-34:0)",0.71182,2.6181,0.010,0.094,-2.7042,<0.1,12524,E3,-8.67E-17
PFHxA,1,PC,NA,"PC(33:1),PC(O-34:1),PC(P-34:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
PFHxA,1,PC,NA,"PC(33:2),PC(O-34:2),PC(P-34:1)",NA,NA,NA,NA,NA,NA,12524,E3,NA
PFHxA,1,PC,NA,"PC(34:0),PC(O-35:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
PFHxA,1,PC,<0.1,"PC(34:1),PC(O-35:1),PC(P-35:0)",0.69487,2.4567,0.015,0.094,-3.0524,<0.1,12524,E3,4.34E-16
PFHxA,1,PC,<0.1,"PC(34:2),PC(O-35:2),PC(P-35:1)",0.5711,2.5068,0.013,0.094,-2.9465,<0.1,12524,E3,4.83E-17
PFHxA,1,PC,NA,"PC(34:3),PC(P-35:2)",NA,NA,NA,NA,NA,NA,12524,E3,NA
PFHxA,1,PC,<0.1,"PC(35:2),PC(O-36:2),PC(P-36:1)",0.60309,2.316,0.022,0.094,-3.3393,<0.1,12524,E3,1.98E-16
